id,nome,categoria,price_cadastrado_from,price_cadastrado_to,preco_real_encontrado,status,price_corrigido_from,price_corrigido_to,observacao
47,"Aspirador de Pó Philco PAS70 1800W 2,2L Super Silencioso com Filtro HEPA 127V",Aspiradores,347.9,313.39,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
46,Xiaomi Robô Aspirador de Pó Inteligente S40 Branco,Robôs,1290.0,1220.0,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
45,Xiaomi Robô Aspirador de Pó Inteligente S40C Branco,Robôs,2699.99,1055.0,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
44,Electrolux Aspirador de Pó e Água A10N1 1400W 18L (11L útil) com Função Sopro 127V,Profissionais,379.9,259.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
43,WAP Aspirador de Pó e Água GTW Inox 70i 2800W com Autolimpeza e Bocal de Sopro 70 Litros 127V,Profissionais,2099.9,1994.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
42,"WAP Robô Aspirador de Pó ROBOT W90 3 em 1, Automático, 250ml, Bivolt",Robôs,549.9,399.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
41,"WAP Aspirador de Pó Vertical à Bateria Eco Rápido 2 em 1, 700ml, Bivolt",Vertical,959.9,499.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
40,"Black+Decker Aspirador de Pó e Água Portátil à Bateria 3,6V APB3600 Vermelho Bivolt",Portáteis,289.0,208.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
39,Lilin Aspirador de Pó Vertical Sem Fio i7 com Tubo Flexível 30000Pa Bivolt,Portáteis,691.0,656.0,,não_verificado,,,não foi possível extrair preço da página
38,Aspirador de Pó Vertical com Fio Portátil 2 em 1 1300W Electrolux PTE10 220V,Vertical,249.9,208.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
37,"eufy C28 Robô Aspirador e Passa Pano, Esfregão Sempre Limpo, 15.000 Pa, 127V",Robôs,6999.0,5984.14,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
36,Lilin Robô Aspirador e Passa Pano X6 Mapeamento LiDAR 6500Pa 3 em 1 Bivolt,Robôs,1519.0,1250.0,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
35,"Electrolux Aspirador de Pó com Saco Experience EQP40 1800W, Filtro HEPA, 127V",Aspiradores,849.0,474.02,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
34,"Electrolux Aspirador Vertical com Fio STK15, 2 em 1, 1450W, Filtro HEPA, 220V",Vertical,319.9,189.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
33,"Britânia Aspirador de Pó Vertical 2 em 1 BAS1295P 1350W, Filtro HEPA, 127V (Oferta Amazon)",Vertical,204.0,122.9,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
32,"Electrolux Aspirador de Pó e Água Hidrolux AWD01 1400W, 12L, Função Sopro, 127V",Aspiradores,339.9,157.4,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
31,"Dreame H60 GT, Aspirador Vertical Sem Fio Seco e Úmido, Sucção 21kPa, Reclinável 180°, Autolimpeza a 90°C, 220V-240V",Vertical,3299.0,2820.55,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
30,"Aspirador de Pó e Água JAGFOR 15L 3500W, para Sólidos e Líquidos, Casa, Carro e Oficina",Profissionais,,1299.0,435.53,corrigido,1299.0,435.53,fonte=meli
29,"Aspirador de Pó Vertical Sem Fio 2 em 1 Inova Cases 120W, Bivolt, com LED",Vertical,428.0,290.61,290.61,correto,,,
28,Aspirador de Pó Vertical 2 em 1 Philco PAS1550C 1400W,Vertical,,206.9,229.07,corrigido,299.9,229.07,fonte=meli
27,Aspirador de Pó Mondial Turbo Cycle HEPA 1550W AP-41-GI,Vertical,,179.9,235.47,corrigido,329.9,235.47,fonte=meli
26,Aspirador de Pó Sem Fio Arno X-Force Flex 9.60 RH20,Vertical,1599.0,1199.0,1199.0,correto,,,
25,"Aspirador de Pó Mondial Turbo Cycle AP-36 1100W, 2 em 1",Vertical,316.9,141.47,141.47,correto,,,
24,"Mini Aspirador de Pó Betahome Portátil 120W, USB, Soprador, Sem Fio, 6000Pa",Portáteis,61.76,41.99,37.67,corrigido,61.76,37.67,fonte=meli
23,"Aspirador de Pelos Kärcher Pet Clean com Tosador Recarregável, Kit 5 em 1, 300W",Portáteis,,542.56,531.71,correto,,,
22,Aspirador de Pó Vertical Sem Fio 3 em 1 Oster OASP630,Vertical,,346.93,599.0,corrigido,899.99,599.0,fonte=meli
21,"Aspirador de Pó Vertical e Portátil WAP High Speed Plus 1350W, Tecnologia Cyclone, Filtro HEPA, 3 em 1, Vermelho",Vertical,299.9,147.46,134.76,correto,,,
20,Britânia BAS1295P Aspirador de Pó 2 em 1 1250W Preto 127V,Vertical,185.36,129.9,129.9,correto,,,
19,"Robô Aspirador Liectroux T9 com Base Autolimpante, Aspira, Varre e Passa Pano, para Carpetes e Pelo de Animais",Robôs,2899.0,2413.0,2413.0,correto,,,
18,"Aspirador Vertical WAP Power Speed Max AZ20 1600W, Sistema 360° com Tecnologia Cyclone, 3 em 1, 127V",Vertical,348.0,288.9,302.9,correto,,,
17,Robô Aspirador Xiaomi S40 10.000Pa Ultra Potente Bivolt Branco,Robôs,,1300.0,1091.0,corrigido,1174.0,1091.0,fonte=meli
16,Aspirador de Pó e Água Wap GTW Inox 12 1400W com Bocal de Sopro,Aspiradores,696.0,299.0,324.33,correto,,,
15,Robô Aspirador e Esfregão Combinado 3 em 1 com Sucção 6500Pa,Robôs,999.0,532.97,532.97,correto,,,
14,"Dreame X50 Ultra Robô Aspirador e Esfregão, 20.000Pa, supera obstáculos de 6 cm, mopa extensível e removível, navegação LDS inteligente, 127V",Robôs,12999.0,10999.0,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
13,"WAP Aspirador de Pó e Água GTW INOX 20i, Compacto, 20 Litros, com Soprador e Filtro Lavável, 170mbar 1900W 220v",Profissionais,759.9,500.47,,não_verificado,,,bloqueio/captcha ou página pequena (3905 bytes)
12,"Robô Aspirador WAP Robot W200 3 em 1 Varre, Aspira e Passa Pano Bivolt",Robôs,699.9,559.0,607.56,correto,,,
11,Aspirador de Pó Vertical e Portátil WAP High Speed Plus 1350W 3 em 1,Vertical,326.0,164.99,153.44,correto,,,
10,Mini Aspirador De Pó Portátil Recarregável Chrome Technology Soprador Usb Automotivo 3em1 Sem Fio,Portáteis,59.99,39.98,39.99,correto,,,
9,"Robô Aspirador Wap Robot W90 Varre, Aspira e Passa Pano 30W Preto",Robôs,514.14,319.9,359.9,corrigido,514.14,359.9,fonte=meli
8,Aspirador Vertical WAP POWER SPEED MAX CI10 3 EM 1 1600W 127V,Vertical,359.9,226.73,208.89,correto,,,
7,Aspirador De Pó Portátil 21v + Filtro Hepa Com Acessórios,Portáteis,699.04,289.9,289.9,correto,,,
6,Robô Aspirador De Pó Inteligente Passa Pano Mapeamento Ekaza Preto,Robôs,989.99,872.99,565.62,corrigido,999.0,565.62,fonte=meli
5,Aspirador Portátil 3 Em 1 Com Soprador e Filtro HEPA Para Carro e Teclado USB,Portáteis,24.99,24.99,26.29,correto,,,
4,Aspirador de Pó e Água WAP GTW 10 1400W de Potência com Bocal de Sopro,Aspiradores,485.57,257.9,260.91,correto,,,
3,"Aspirador Automotivo Portátil WAP CAR com Filtro HEPA e Cabo de 3,7m",Portáteis,111.0,89.91,99.9,corrigido,111.0,99.9,fonte=meli
2,Dreame L40 Ultra Com Base E Mop 19000pa Branco 127v,Robôs,7499.0,5549.0,6599.0,corrigido,7499.0,6599.0,fonte=meli
1,Extratora de Sujeira Portátil WAP Spot Cleaner W3 Borrifa Esfrega e Extrai 1450W de Potência e Bico de Autolimpeza,Extratoras,899.86,548.0,520.6,correto,,,
